Check ID,Created (UTC),Name,Hostname,Tags,Type,Verify Certificate,Status,Last Check Time (UTC)
713231,2012-12-12 10:16:51,EPiServer DNS - SE1,epidnsmonitor.epihosting.net,"[""epidns""]",dns,,up,2025-05-05 08:33:23
718071,2012-12-18 08:49:50,EPiServer DNS - SE2,epidnsmonitor.epihosting.net,"[""epidns""]",dns,,up,2025-05-05 08:33:48
718072,2012-12-18 08:50:30,EPiServer DNS - SE3,epidnsmonitor.epihosting.net,"[""epidns""]",dns,,up,2025-05-05 08:33:50
718337,2012-12-18 12:46:48,world.episerver.com,world.episerver.com,[],http,1.0,up,2025-05-05 08:33:16
719433,2012-12-19 12:24:50,www.sodertaljesjukhus.se,www.sodertaljesjukhus.se,"[""everweb""]",http,1.0,paused,2025-04-16 09:13:57
742251,2013-01-21 14:32:34,www.riksbank.se,www.riksbank.se,[],http,1.0,up,2025-05-05 08:33:44
4948737,2018-12-19 13:20:35,www.riksbank.se/pki/crl/,www.riksbank.se,[],http,1.0,up,2025-05-05 08:33:12
774465,2013-02-28 16:29:57,www.sbu.se,www.sbu.se,"[""sbuweb03""]",http,,up,2025-05-05 08:33:44
10915458,2022-03-07 06:55:22,www.gda.se,www.gda.se,[],http,1.0,up,2025-05-05 08:33:00
5787801,2020-02-12 08:50:57,www.lakemedelsverket.se || lake01mstriqo43prod,www.lakemedelsverket.se,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""lake01mstriqo43prod"",""cluster_lake01mstriqo43prod"",""customer_lake""]",http,1.0,paused,2025-01-20 08:00:16
1437975,2014-12-02 14:18:58,www.sbff.se,www.sbff.se,"[""epwsweb102""]",http,1.0,up,2025-05-05 08:33:01
1123557,2014-02-18 20:40:08,office.rapid.com || abco02aap8e5beprod,office.rapid.com,"[""dxc"",""abco02aap8e5beprod""]",http,1.0,paused,2025-03-14 11:56:11
2269693,2016-08-18 07:10:02,Episerver Cloud API / License API,cloud-api.episerver.com,"[""cloudapi""]",http,,up,2025-05-05 08:33:00
6577727,2020-08-28 00:40:01,PaaS proxy,cloud-api.episerver.com,"[""p1"",""paasportal""]",http,1.0,up,2025-05-05 08:33:01
2570955,2017-03-02 16:00:17,www.woundcareforme.com || molnlyckewp19lprod,www.woundcareforme.com,"[""dxc"",""molnlyckewp19lprod""]",http,,up,2025-05-05 08:33:06
2570974,2017-03-02 16:04:26,www.epaderm.com || molnlyckewp19lprod,www.epaderm.com,"[""dxc"",""molnlyckewp19lprod""]",http,,up,2025-05-05 08:33:50
2570977,2017-03-02 16:08:20,www.molnlycke.com || molnlyckewp19lprod,www.molnlycke.com,"[""dxc"",""molnlyckewp19lprod""]",http,,paused,2024-06-25 11:42:04
2685709,2017-04-05 19:42:18,www.freshfields.com || freshf1a0aoprod,www.freshfields.com,"[""dxc"",""freshf1a0aoprod""]",http,,paused,2025-03-31 06:06:27
2857162,2017-05-09 13:49:41,EPSO: demo.social.episerver.net,demo.social.episerver.net,"[""social"",""demo""]",http,,up,2025-05-05 08:33:29
3420697,2017-08-21 20:11:55,EPSO: Developer Portal,demo.social.episerver.net,"[""social""]",http,,up,2025-05-05 08:33:26
2778928,2017-04-24 18:09:30,www.accessconsciousness.com,www.accessconsciousness.com,[],http,1.0,paused,2025-02-10 04:31:04
2857153,2017-05-09 13:47:38,EPSO: emea.social.episerver.net,emea.social.episerver.net,"[""emea"",""social""]",http,,up,2025-05-05 08:33:44
3640411,2017-09-27 17:38:18,EPSO: Atea Sverige AB - c7afbedc14f740bbbc36faa76092f4db,emea.social.episerver.net,"[""emea"",""social"",""c7afbedc14f740bbbc36faa76092f4db""]",http,,paused,2023-11-22 08:52:42
3640414,2017-09-27 17:38:31,EPSO: Atea Sverige AB - b4d9e2b90a674581959afb22f4aae020,emea.social.episerver.net,"[""emea"",""social"",""b4d9e2b90a674581959afb22f4aae020""]",http,,paused,2023-11-22 08:52:37
2857264,2017-05-09 14:06:37,EPSO: b3d713e0be494e8fa886b0e60c678682 - emea.social.episerver.net,emea.social.episerver.net,"[""emea"",""social"",""b3d713e0be494e8fa886b0e60c678682""]",http,,up,2025-05-05 08:33:21
2857282,2017-05-09 14:11:50,EPSO: 513971c1a64e4461945617dcea3239c6 - emea.social.episerver.net,emea.social.episerver.net,"[""emea"",""social"",""513971c1a64e4461945617dcea3239c6""]",http,,up,2025-05-05 08:33:18
3145696,2017-06-30 13:27:45,EPSO: Pacific Life Insurance Company - f4a380e024714ba09dc337f45605b58f,usea.social.episerver.net,"[""social"",""f4a380e024714ba09dc337f45605b58f"",""usea""]",http,,up,2025-05-05 08:33:01
3145705,2017-06-30 13:28:05,usea.social.episerver.net,usea.social.episerver.net,"[""social"",""usea"",""ba8b3d28c966492fbe9c4c5f3ae903c2""]",http,,up,2025-05-05 08:33:25
3442960,2017-08-24 16:27:30,"EPSO: Wolters Kluwer Financial Services, Inc. - 9be8f43a0010464abddda0b39644d6e5",usea.social.episerver.net,"[""social"",""usea"",""9be8f43a0010464abddda0b39644d6e5""]",http,,up,2025-05-05 08:33:08
