Check ID,Created (UTC),Name,Hostname,Tags,Type,Verify Certificate,Status,Last Check Time (UTC)
718071,2012-12-18 08:49:50,EPiServer DNS - SE2,epidnsmonitor.epihosting.net,"[""epidns""]",dns,,up,2025-05-05 08:33:48
718072,2012-12-18 08:50:30,EPiServer DNS - SE3,epidnsmonitor.epihosting.net,"[""epidns""]",dns,,up,2025-05-05 08:33:50
4948737,2018-12-19 13:20:35,www.riksbank.se/pki/crl/,www.riksbank.se,[],http,1.0,up,2025-05-05 08:33:12
6577727,2020-08-28 00:40:01,PaaS proxy,cloud-api.episerver.com,"[""p1"",""paasportal""]",http,1.0,up,2025-05-05 08:33:01
3420697,2017-08-21 20:11:55,EPSO: Developer Portal,demo.social.episerver.net,"[""social""]",http,,up,2025-05-05 08:33:26
3640411,2017-09-27 17:38:18,EPSO: Atea Sverige AB - c7afbedc14f740bbbc36faa76092f4db,emea.social.episerver.net,"[""emea"",""social"",""c7afbedc14f740bbbc36faa76092f4db""]",http,,paused,2023-11-22 08:52:42
3640414,2017-09-27 17:38:31,EPSO: Atea Sverige AB - b4d9e2b90a674581959afb22f4aae020,emea.social.episerver.net,"[""emea"",""social"",""b4d9e2b90a674581959afb22f4aae020""]",http,,paused,2023-11-22 08:52:37
2857264,2017-05-09 14:06:37,EPSO: b3d713e0be494e8fa886b0e60c678682 - emea.social.episerver.net,emea.social.episerver.net,"[""emea"",""social"",""b3d713e0be494e8fa886b0e60c678682""]",http,,up,2025-05-05 08:33:21
2857282,2017-05-09 14:11:50,EPSO: 513971c1a64e4461945617dcea3239c6 - emea.social.episerver.net,emea.social.episerver.net,"[""emea"",""social"",""513971c1a64e4461945617dcea3239c6""]",http,,up,2025-05-05 08:33:18
3145705,2017-06-30 13:28:05,usea.social.episerver.net,usea.social.episerver.net,"[""social"",""usea"",""ba8b3d28c966492fbe9c4c5f3ae903c2""]",http,,up,2025-05-05 08:33:25
3442960,2017-08-24 16:27:30,"EPSO: Wolters Kluwer Financial Services, Inc. - 9be8f43a0010464abddda0b39644d6e5",usea.social.episerver.net,"[""social"",""usea"",""9be8f43a0010464abddda0b39644d6e5""]",http,,up,2025-05-05 08:33:08
3442963,2017-08-24 16:28:18,"EPSO: Wolters Kluwer Financial Services, Inc. - 94d138fe4ed44f298254347c823008f6",usea.social.episerver.net,"[""social"",""usea"",""94d138fe4ed44f298254347c823008f6""]",http,,up,2025-05-05 08:32:58
4184907,2018-01-08 16:25:27,apac.social.episerver.net,apac.social.episerver.net,"[""apac"",""social"",""18ed186908e943c8849eafc4b3db0cea"",""customer_epop"",""epop02mstr7i59prod"",""cluster_epop02mstr7i59prod""]",http,,up,2025-05-05 08:33:37
3443608,2017-08-24 18:48:01,EPSO: Primary Health Care Limited - 366b3bf9490f48dab6d901aefd4e8da1,apac.social.episerver.net,"[""apac"",""social"",""366b3bf9490f48dab6d901aefd4e8da1""]",http,,up,2025-05-05 08:33:24
4098292,2017-12-05 15:06:13,EPSO: Olav Thon Gruppen - e88eaf20d8ce4876b5ff3821b1842c0c,emea.social.episerver.net,"[""emea"",""social"",""e88eaf20d8ce4876b5ff3821b1842c0c""]",http,,up,2025-05-05 08:33:43
4098295,2017-12-05 15:06:33,EPSO: Olav Thon Gruppen - e6478d6c31534a89a7130ad2953e933c,emea.social.episerver.net,"[""emea"",""social"",""e6478d6c31534a89a7130ad2953e933c""]",http,,up,2025-05-05 08:33:20
5539059,2019-10-31 19:38:47,episerver.zendesk.com || gcsozendesk,episerver.zendesk.com,"[""ansczendesk""]",http,1.0,up,2025-05-05 08:33:42
4184910,2018-01-08 16:25:42,EPSO: Briscoe Group - 328b8fd10b7b46c48bbd46de3ff110ef,apac.social.episerver.net,"[""apac"",""social"",""328b8fd10b7b46c48bbd46de3ff110ef""]",http,,paused,2025-01-15 04:22:47
4342125,2018-02-20 16:53:07,EPSO: SOS Alarm Sverige AB - 1a052089e16d4b42950520f3b902d4b3,emea.social.episerver.net,"[""emea"",""social"",""1a052089e16d4b42950520f3b902d4b3""]",http,,up,2025-05-05 08:33:53
4342137,2018-02-20 16:57:17,EPSO: SOS Alarm Sverige AB - 68566b8d79b14aafbf8841d197ba2ddd,emea.social.episerver.net,"[""emea"",""social"",""68566b8d79b14aafbf8841d197ba2ddd""]",http,,up,2025-05-05 08:33:32
4342140,2018-02-20 16:58:28,EPSO: SOS Alarm Sverige AB - febd177f899e4f6b8d23969f92a94199,emea.social.episerver.net,"[""emea"",""social"",""febd177f899e4f6b8d23969f92a94199""]",http,,up,2025-05-05 08:33:24
4370142,2018-02-27 18:55:10,EPSO: SITA S.R.C.L - 036a952d29b648f9b9cc026b847b9578,emea.social.episerver.net,"[""emea"",""social"",""036a952d29b648f9b9cc026b847b9578""]",http,,up,2025-05-05 08:33:47
