Check ID,Created (UTC),Name,Hostname,Tags,Type,Verify Certificate,Status,Last Check Time (UTC)
718337,2012-12-18 12:46:48,world.episerver.com,world.episerver.com,[],http,1.0,up,2025-05-05 08:33:16
719227,2012-12-19 07:43:58,www.cassandraoil.com,www.cassandraoil.com,"[""ws46""]",http,,up,2025-05-05 08:33:11
719234,2012-12-19 07:47:04,www.lrfkonsult.se,www.lrfkonsult.se,[],http,,up,2025-05-05 08:33:28
719433,2012-12-19 12:24:50,www.sodertaljesjukhus.se,www.sodertaljesjukhus.se,"[""everweb""]",http,1.0,paused,2025-04-16 09:13:57
719475,2012-12-19 13:22:11,www.srfstockholmgotland.se,www.srfstockholmgotland.se,[],http,,up,2025-05-05 08:33:44
742251,2013-01-21 14:32:34,www.riksbank.se,www.riksbank.se,[],http,1.0,up,2025-05-05 08:33:44
771201,2013-02-25 10:38:57,www.golf.se,www.golf.se,[],http,,up,2025-05-05 08:33:19
774465,2013-02-28 16:29:57,www.sbu.se,www.sbu.se,"[""sbuweb03""]",http,,up,2025-05-05 08:33:44
12470394,2023-08-22 13:58:50,www.regionfakta.com,www.regionfakta.com,[],http,1.0,up,2025-05-05 08:33:15
838450,2013-05-07 15:17:17,www.poolia.se,www.poolia.se,[],http,,up,2025-05-05 08:33:09
838477,2013-05-07 15:37:33,www.karlstadsenergi.se,www.karlstadsenergi.se,[],http,,up,2025-05-05 08:33:12
10879054,2022-02-28 09:34:35,www.sodersjukhuset.se,www.sodersjukhuset.se,"[""sodersweb01""]",http,1.0,up,2025-05-05 08:33:26
5310678,2019-06-30 13:15:36,www.forskningsparken.no,www.forskningsparken.no,"[""ws53""]",http,1.0,up,2025-05-05 08:33:43
839113,2013-05-08 06:54:00,www.salem.se,www.salem.se,[],http,,up,2025-05-05 08:33:57
10915458,2022-03-07 06:55:22,www.gda.se,www.gda.se,[],http,1.0,up,2025-05-05 08:33:00
839140,2013-05-08 06:54:20,www.stat-inst.se,www.stat-inst.se,[],http,,up,2025-05-05 08:33:22
839148,2013-05-08 06:54:24,www.konsumenternas.se,www.konsumenternas.se,[],http,,up,2025-05-05 08:33:44
839153,2013-05-08 06:54:26,www.capio.se,www.capio.se,"[""everweb"",""capio""]",http,1.0,up,2025-05-05 08:33:41
839170,2013-05-08 06:54:33,www.srf.nu,www.srf.nu,[],http,1.0,up,2025-05-05 08:33:49
839184,2013-05-08 06:54:39,www.me.se,www.me.se,"[""epwsweb101""]",http,,up,2025-05-05 08:33:03
839185,2013-05-08 06:54:40,www.sogeti.fi,www.sogeti.fi,[],http,1.0,paused,2025-01-23 11:05:13
