Check ID,Created (UTC),Name,Hostname,Tags,Type,Verify Certificate,Status,Last Check Time (UTC)
839185,2013-05-08 06:54:40,www.sogeti.fi,www.sogeti.fi,[],http,1.0,paused,2025-01-23 11:05:13
839470,2013-05-08 06:57:26,www.sogeti.no,www.sogeti.no,[],http,1.0,paused,2025-02-03 00:39:34
1048481,2013-12-04 09:50:49,www.diakonia.se,www.diakonia.se,[],http,,paused,2024-09-12 01:00:52
1061530,2013-12-17 13:12:05,www.langhamhotels.com,www.langhamhotels.com,[],http,,paused,2025-03-24 13:38:28
1100661,2014-01-30 03:57:58,www.sverigetarmatchen.se,www.sverigetarmatchen.se,[],http,,paused,2024-09-07 01:53:02
1442382,2014-12-05 15:49:21,www.folkbildning.net,www.folkbildning.net,"[""rioweb01""]",http,,paused,2024-07-17 11:37:13
1561793,2015-04-08 02:11:18,www.c4energi.se,www.c4energi.se,"[""epwsweb101""]",http,,paused,2025-01-24 14:57:25
1583292,2015-04-29 04:25:01,www.byggvarubedomningen.se,www.byggvarubedomningen.se,[],http,1.0,paused,2024-09-11 22:10:26
1642711,2015-06-25 12:05:57,www.audifinans.no,www.audifinans.no,"[""volkswagenweb01""]",http,,paused,2024-03-08 12:12:57
1642712,2015-06-25 12:07:00,www.skodafinans.no,www.skodafinans.no,[],http,,paused,2024-03-08 12:13:43
1642717,2015-06-25 12:08:29,www.volkswagenfinans.no,www.volkswagenfinans.no,"[""volkswagenweb01""]",http,,paused,2024-03-08 12:13:04
1730458,2015-08-17 02:41:45,www.sogeti.ie,www.sogeti.ie,[],http,1.0,paused,2024-12-11 08:38:50
1954267,2016-01-18 13:27:19,www.highsteelservicecenter.com || hico02mstr98g6nprod,www.highsteelservicecenter.com,"[""dxc"",""hico02mstr98g6nprod""]",http,,paused,2022-11-20 03:35:37
1955885,2016-01-19 09:31:02,www.cordishotels.com,www.cordishotels.com,[],http,,paused,2025-03-24 13:38:32
1957146,2016-01-19 20:21:58,ZD1270862 folktandvardenskane.se,folktandvardenskane.se,[],http,1.0,paused,2023-11-01 13:32:18
9733265,2021-11-02 04:24:45,www.mpn10.no,www.mpn10.no,[],http,1.0,paused,2025-03-13 13:27:07
2087183,2016-04-08 14:38:49,www.ecster.se,www.ecster.se,"[""everweb"",""hbfweb01"",""hbfweb02""]",http,,paused,2025-02-21 12:11:53
2090083,2016-04-11 13:44:29,zd1586668 - www.sogeti.be,www.sogeti.be,[],http,1.0,paused,2024-12-05 08:52:39
2090099,2016-04-11 13:49:24,www.sogeti.de,www.sogeti.de,[],http,1.0,paused,2025-01-27 09:50:08
2090100,2016-04-11 13:50:34,zd1624746 - www.sogeti.es,www.sogeti.es,[],http,1.0,paused,2025-01-21 09:42:06
2090103,2016-04-11 13:52:22,www.sogeti.lu,www.sogeti.lu,[],http,1.0,paused,2024-12-11 08:56:16
2158287,2016-05-24 09:33:10,www.nefab.com,www.nefab.com,[],http,1.0,paused,2025-04-12 01:40:15
2213491,2016-07-03 16:09:18,zd1652827-www.oslotech.no,www.oslotech.no,"[""ws53""]",http,,paused,2025-03-03 01:38:10
2332616,2016-10-12 15:14:41,www.periodicfevers.com,www.periodicfevers.com,[],http,,paused,2024-12-09 11:41:27
2397790,2016-12-01 05:02:33,ZD 1567981 www.vertivco.com || enpoemersonnetwyoj45prod,www.vertivco.com,"[""dxc"",""enpoemersonnetwyoj45prod""]",http,,paused,2024-11-18 01:27:22
2946991,2017-05-25 07:29:34,www.pepper.com.au || pppr01q6we2prod,www.pepper.com.au,"[""dxc"",""pppr01q6we2prod""]",http,1.0,paused,2024-09-03 00:34:20
3062701,2017-06-15 15:48:25,www.episerver.dk,www.episerver.dk,"[""dxc"",""epop02mstr7i59uprod""]",http,,paused,2020-09-29 04:54:08
6290309,2020-07-06 08:22:48,www.roxtec.cn || roxi01mstrv3k40prod,www.roxtec.cn,"[""dxc"",""roxi01mstrv3k40prod"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""cluster_roxi01mstrv3k40prod"",""customer_roxi""]",http,1.0,paused,2024-09-03 23:28:32
4455087,2018-03-20 10:28:17,optivo - b.ns.optivo.de,b.ns.optivo.de,[],tcp,,paused,2023-01-12 23:02:41
4531542,2018-04-12 08:04:35,www.kfstockholm.se _ZD 1598173,www.kfstockholm.se,"[""epwsweb102""]",http,1.0,paused,2024-12-19 03:24:51
4418475,2018-03-12 16:05:35,www.flottiljenkopkvarter.se || igas02app015rmprod,www.flottiljenkopkvarter.se,"[""dxc"",""igas02app015rmprod"",""reys001mstrg96i2prod""]",http,,paused,2024-01-12 02:07:43
4582866,2018-04-27 21:33:39,www.midroc.se || msab02mstr30d5oprod,www.midroc.se,"[""dxc"",""midroc2n97vprod"",""msab02mstr30d5oprod""]",http,1.0,paused,2025-04-22 09:24:28
12727263,2023-09-29 10:10:06,zd1619419 - www.yara.cm || yara02mstr910ioprod,www.yara.cm,"[""dxc"",""yara02mstr910ioprod""]",http,1.0,paused,2025-01-20 07:08:35
4610187,2018-05-08 16:13:04,www.contournextone.si || adcueurope019tv3aprod,www.contournextone.si,"[""dxc"",""adcueurope019tv3aprod""]",http,,paused,2025-03-15 03:39:39
4654454,2018-05-26 23:51:52,ZD_1644716 investors.munksjo.com || alst01masterodq11prod,investors.munksjo.com,"[""dxc"",""alst01masterodq11prod""]",http,,paused,2025-02-17 03:36:12
4716685,2018-07-25 18:54:01,www.catella.ee || cala01mstr860ppprod,www.catella.ee,"[""dxc"",""cala01mstr860ppprod""]",http,,paused,2024-05-02 23:21:19
